Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
ReleaseSemaphore,KERNEL32.DLL,.text,1142624,1340,4,4364,16
GetSystemTimeAsFileTime,KERNEL32.DLL,.text,1142624,1330,1,4364,16
CloseHandle,KERNEL32.DLL,.text,1142624,1270,18,4364,32
GetCurrentProcessId,KERNEL32.DLL,.text,1142624,1250,3,4364,16
QueryPerformanceCounter,KERNEL32.DLL,.text,1142624,11e0,1,4364,16
GetCurrentThread,KERNEL32.DLL,.text,1142624,11b0,1,4364,16
TlsSetValue,KERNEL32.DLL,.text,1142624,1180,1,4364,16
TlsGetValue,KERNEL32.DLL,.text,1142624,10a0,6,4364,208
GetCurrentThreadId,KERNEL32.DLL,.text,1142624,1080,109,4364,32
GetTickCount,KERNEL32.DLL,.text,1142624,1040,1,4364,32
WaitForSingleObject,KERNEL32.DLL,.text,1142624,1030,22,4364,16
ReleaseMutex,KERNEL32.DLL,.text,1142624,1020,14,4364,16
SetHandleCount,KERNELBASE.dll,.text,987184,20500,1,4364,7056
SetUnhandledExceptionFilter,KERNELBASE.dll,.text,987184,1ff20,1,4364,640
FlsAlloc,KERNELBASE.dll,.text,987184,1c150,1,4364,432
GetStartupInfoW,KERNELBASE.dll,.text,987184,1c090,1,4364,192
CreateMutexExA,KERNELBASE.dll,.text,987184,16f30,14,4364,128
CreateMutexA,KERNELBASE.dll,.text,987184,16f00,14,4364,48
HeapSetInformation,KERNELBASE.dll,.text,987184,b340,2,4364,48
GetCommandLineW,KERNELBASE.dll,.text,987184,b330,1,4364,16
HeapCreate,KERNELBASE.dll,.text,987184,b2a0,1,4364,144
TlsAlloc,KERNELBASE.dll,.text,987184,b220,1,4364,128
GetStringTypeW,KERNELBASE.dll,.text,987184,a9c0,1,4364,320
GetEnvironmentStringsW,KERNELBASE.dll,.text,987184,a900,1,4364,192
FreeEnvironmentStringsA,KERNELBASE.dll,.text,987184,a8d0,1,4364,48
IsValidCodePage,KERNELBASE.dll,.text,987184,a860,1,4364,112
GetCPInfo,KERNELBASE.dll,.text,987184,a770,2,4364,240
OpenRegKey,KERNELBASE.dll,.text,987184,a4b0,1,4364,704
GetCommandLineA,KERNELBASE.dll,.text,987184,99f0,1,4364,16
InitializeCriticalSectionEx,KERNELBASE.dll,.text,987184,99a0,17,4364,80
CreateSemaphoreExW,KERNELBASE.dll,.text,987184,9300,5,4364,256
